WEEK,UNIQUE_USERS
2025-02-10 00:00:00.000,57281
2025-01-27 00:00:00.000,147566
2025-02-24 00:00:00.000,86859
2025-02-17 00:00:00.000,71002
2025-01-20 00:00:00.000,139036
2025-03-03 00:00:00.000,75520
2025-02-03 00:00:00.000,79203
2025-03-10 00:00:00.000,52980
2024-10-28 00:00:00.000,79790
2024-08-05 00:00:00.000,41127
2024-10-21 00:00:00.000,49341
2024-07-15 00:00:00.000,31271
2025-01-06 00:00:00.000,104160
2024-12-02 00:00:00.000,64152
2024-08-12 00:00:00.000,38995
2024-07-29 00:00:00.000,77035
2024-07-22 00:00:00.000,40078
2024-11-25 00:00:00.000,100860
2024-11-18 00:00:00.000,167050
2024-12-16 00:00:00.000,87826
2024-10-07 00:00:00.000,990252
2024-12-09 00:00:00.000,99732
2024-09-02 00:00:00.000,37729
2024-08-26 00:00:00.000,38172
2024-09-23 00:00:00.000,204420
2025-01-13 00:00:00.000,56615
2024-11-11 00:00:00.000,256871
2024-08-19 00:00:00.000,29803
2024-06-24 00:00:00.000,46767
2024-02-12 00:00:00.000,50992
2024-12-23 00:00:00.000,93134
2024-12-30 00:00:00.000,75179
2024-07-08 00:00:00.000,41865
2024-07-01 00:00:00.000,51219
2024-03-04 00:00:00.000,94904
2024-11-04 00:00:00.000,96424
2024-10-14 00:00:00.000,35977
2024-09-16 00:00:00.000,30841
2024-09-09 00:00:00.000,27520
2024-02-05 00:00:00.000,340143
2024-04-01 00:00:00.000,427189
2024-03-18 00:00:00.000,114179
2024-03-11 00:00:00.000,129826
2024-01-29 00:00:00.000,33833872
2024-06-10 00:00:00.000,59825
2024-04-08 00:00:00.000,84620
2024-04-29 00:00:00.000,68845
2024-04-22 00:00:00.000,89011
2024-04-15 00:00:00.000,92698
2024-05-27 00:00:00.000,51079
2024-06-17 00:00:00.000,65344
2024-05-06 00:00:00.000,54324
2024-05-20 00:00:00.000,40762
2024-05-13 00:00:00.000,20133
2024-03-25 00:00:00.000,262259
2024-02-26 00:00:00.000,111769
2024-02-19 00:00:00.000,65677
2024-06-03 00:00:00.000,75655
ï»¿